year,stock,capture,taxa,effort
1951,Anadara granosa,1e-04,Anadara granosa,165533366.6
1951,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,165533366.6
1951,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,165533366.6
1951,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,165533366.6
1951,Crassostrea spp,1e-04,Crassostrea spp,165533366.6
1951,Ex Mollusca,1e-04,Ex Mollusca,165533366.6
1951,Genypterus blacodes,1e-04,Genypterus blacodes,165533366.6
1951,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,165533366.6
1951,Istiophoridae,1e-04,Istiophoridae,165533366.6
1951,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,165533366.6
1951,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,165533366.6
1951,Megalops cyprinoides,1e-04,Megalops cyprinoides,165533366.6
1951,Meretrix spp,1e-04,Meretrix spp,165533366.6
1951,Monacanthidae,1e-04,Monacanthidae,165533366.6
1951,Mustelus antarcticus,1e-04,Mustelus antarcticus,165533366.6
1951,Paphies australis,1e-04,Paphies australis,165533366.6
1951,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,165533366.6
1951,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,165533366.6
1951,Rachycentron canadum,1e-04,Rachycentron canadum,165533366.6
1951,Rexea solandri,1e-04,Rexea solandri,165533366.6
1951,Rhodophyta,1e-04,Rhodophyta,165533366.6
1951,Scolopsis spp,1e-04,Scolopsis spp,165533366.6
1951,Scylla serrata,1e-04,Scylla serrata,165533366.6
1951,Scyllaridae,1e-04,Scyllaridae,165533366.6
1951,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,165533366.6
1951,Serranidae,1e-04,Serranidae,165533366.6
1951,Siganus spp,1e-04,Siganus spp,165533366.6
1951,Testudinata,1e-04,Testudinata,165533366.6
1951,Thenus orientalis,1e-04,Thenus orientalis,165533366.6
1951,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,165533366.6
1951,Zeus faber,1e-04,Zeus faber,165533366.6
1952,Anadara granosa,1e-04,Anadara granosa,162564880.2
1952,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,162564880.2
1952,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,162564880.2
1952,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,162564880.2
1952,Crassostrea spp,1e-04,Crassostrea spp,162564880.2
1952,Ex Mollusca,1e-04,Ex Mollusca,162564880.2
1952,Genypterus blacodes,1e-04,Genypterus blacodes,162564880.2
1952,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,162564880.2
1952,Istiophoridae,1e-04,Istiophoridae,162564880.2
1952,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,162564880.2
1952,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,162564880.2
1952,Megalops cyprinoides,1e-04,Megalops cyprinoides,162564880.2
1952,Meretrix spp,1e-04,Meretrix spp,162564880.2
1952,Monacanthidae,1e-04,Monacanthidae,162564880.2
1952,Mustelus antarcticus,1e-04,Mustelus antarcticus,162564880.2
1952,Paphies australis,1e-04,Paphies australis,162564880.2
1952,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,162564880.2
1952,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,162564880.2
1952,Rachycentron canadum,1e-04,Rachycentron canadum,162564880.2
1952,Rexea solandri,1e-04,Rexea solandri,162564880.2
1952,Rhodophyta,1e-04,Rhodophyta,162564880.2
1952,Scolopsis spp,1e-04,Scolopsis spp,162564880.2
1952,Scylla serrata,1e-04,Scylla serrata,162564880.2
1952,Scyllaridae,1e-04,Scyllaridae,162564880.2
1952,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,162564880.2
1952,Serranidae,1e-04,Serranidae,162564880.2
1952,Siganus spp,1e-04,Siganus spp,162564880.2
1952,Testudinata,1e-04,Testudinata,162564880.2
1952,Thenus orientalis,1e-04,Thenus orientalis,162564880.2
1952,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,162564880.2
1952,Zeus faber,1e-04,Zeus faber,162564880.2
1953,Anadara granosa,1e-04,Anadara granosa,199857053.1
1953,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,199857053.1
1953,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,199857053.1
1953,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,199857053.1
1953,Crassostrea spp,1e-04,Crassostrea spp,199857053.1
1953,Ex Mollusca,1e-04,Ex Mollusca,199857053.1
1953,Genypterus blacodes,1e-04,Genypterus blacodes,199857053.1
1953,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,199857053.1
1953,Istiophoridae,1e-04,Istiophoridae,199857053.1
1953,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,199857053.1
1953,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,199857053.1
1953,Megalops cyprinoides,1e-04,Megalops cyprinoides,199857053.1
1953,Meretrix spp,1e-04,Meretrix spp,199857053.1
1953,Monacanthidae,1e-04,Monacanthidae,199857053.1
1953,Mustelus antarcticus,1e-04,Mustelus antarcticus,199857053.1
1953,Paphies australis,1e-04,Paphies australis,199857053.1
1953,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,199857053.1
1953,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,199857053.1
1953,Rachycentron canadum,1e-04,Rachycentron canadum,199857053.1
1953,Rexea solandri,1e-04,Rexea solandri,199857053.1
1953,Rhodophyta,1e-04,Rhodophyta,199857053.1
1953,Scolopsis spp,1e-04,Scolopsis spp,199857053.1
1953,Scylla serrata,1e-04,Scylla serrata,199857053.1
1953,Scyllaridae,1e-04,Scyllaridae,199857053.1
1953,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,199857053.1
1953,Serranidae,1e-04,Serranidae,199857053.1
1953,Siganus spp,1e-04,Siganus spp,199857053.1
1953,Testudinata,1e-04,Testudinata,199857053.1
1953,Thenus orientalis,1e-04,Thenus orientalis,199857053.1
1953,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,199857053.1
1953,Zeus faber,1e-04,Zeus faber,199857053.1
1954,Anadara granosa,1e-04,Anadara granosa,206451678.9
1954,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,206451678.9
1954,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,206451678.9
1954,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,206451678.9
1954,Crassostrea spp,1e-04,Crassostrea spp,206451678.9
1954,Ex Mollusca,1e-04,Ex Mollusca,206451678.9
1954,Genypterus blacodes,1e-04,Genypterus blacodes,206451678.9
1954,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,206451678.9
1954,Istiophoridae,1e-04,Istiophoridae,206451678.9
1954,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,206451678.9
1954,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,206451678.9
1954,Megalops cyprinoides,1e-04,Megalops cyprinoides,206451678.9
1954,Meretrix spp,1e-04,Meretrix spp,206451678.9
1954,Monacanthidae,1e-04,Monacanthidae,206451678.9
1954,Mustelus antarcticus,1e-04,Mustelus antarcticus,206451678.9
1954,Paphies australis,1e-04,Paphies australis,206451678.9
1954,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,206451678.9
1954,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,206451678.9
1954,Rachycentron canadum,1e-04,Rachycentron canadum,206451678.9
1954,Rexea solandri,1e-04,Rexea solandri,206451678.9
1954,Rhodophyta,1e-04,Rhodophyta,206451678.9
1954,Scolopsis spp,1e-04,Scolopsis spp,206451678.9
1954,Scylla serrata,1e-04,Scylla serrata,206451678.9
1954,Scyllaridae,1e-04,Scyllaridae,206451678.9
1954,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,206451678.9
1954,Serranidae,1e-04,Serranidae,206451678.9
1954,Siganus spp,1e-04,Siganus spp,206451678.9
1954,Testudinata,1e-04,Testudinata,206451678.9
1954,Thenus orientalis,1e-04,Thenus orientalis,206451678.9
1954,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,206451678.9
1954,Zeus faber,1e-04,Zeus faber,206451678.9
1955,Anadara granosa,1e-04,Anadara granosa,182172825.9
1955,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,182172825.9
1955,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,182172825.9
1955,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,182172825.9
1955,Crassostrea spp,1e-04,Crassostrea spp,182172825.9
1955,Ex Mollusca,1e-04,Ex Mollusca,182172825.9
1955,Genypterus blacodes,1e-04,Genypterus blacodes,182172825.9
1955,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,182172825.9
1955,Istiophoridae,1e-04,Istiophoridae,182172825.9
1955,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,182172825.9
1955,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,182172825.9
1955,Megalops cyprinoides,1e-04,Megalops cyprinoides,182172825.9
1955,Meretrix spp,1e-04,Meretrix spp,182172825.9
1955,Monacanthidae,1e-04,Monacanthidae,182172825.9
1955,Mustelus antarcticus,1e-04,Mustelus antarcticus,182172825.9
1955,Paphies australis,1e-04,Paphies australis,182172825.9
1955,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,182172825.9
1955,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,182172825.9
1955,Rachycentron canadum,1e-04,Rachycentron canadum,182172825.9
1955,Rexea solandri,1e-04,Rexea solandri,182172825.9
1955,Rhodophyta,1e-04,Rhodophyta,182172825.9
1955,Scolopsis spp,1e-04,Scolopsis spp,182172825.9
1955,Scylla serrata,1e-04,Scylla serrata,182172825.9
1955,Scyllaridae,1e-04,Scyllaridae,182172825.9
1955,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,182172825.9
1955,Serranidae,1e-04,Serranidae,182172825.9
1955,Siganus spp,1e-04,Siganus spp,182172825.9
1955,Testudinata,1e-04,Testudinata,182172825.9
1955,Thenus orientalis,1e-04,Thenus orientalis,182172825.9
1955,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,182172825.9
1955,Zeus faber,1e-04,Zeus faber,182172825.9
1956,Anadara granosa,1e-04,Anadara granosa,192835019.2
1956,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,192835019.2
1956,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,192835019.2
1956,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,192835019.2
1956,Crassostrea spp,1e-04,Crassostrea spp,192835019.2
1956,Ex Mollusca,1e-04,Ex Mollusca,192835019.2
1956,Genypterus blacodes,1e-04,Genypterus blacodes,192835019.2
1956,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,192835019.2
1956,Istiophoridae,1e-04,Istiophoridae,192835019.2
1956,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,192835019.2
1956,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,192835019.2
1956,Megalops cyprinoides,1e-04,Megalops cyprinoides,192835019.2
1956,Meretrix spp,1e-04,Meretrix spp,192835019.2
1956,Monacanthidae,1e-04,Monacanthidae,192835019.2
1956,Mustelus antarcticus,1e-04,Mustelus antarcticus,192835019.2
1956,Paphies australis,1e-04,Paphies australis,192835019.2
1956,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,192835019.2
1956,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,192835019.2
1956,Rachycentron canadum,1e-04,Rachycentron canadum,192835019.2
1956,Rexea solandri,1e-04,Rexea solandri,192835019.2
1956,Rhodophyta,1e-04,Rhodophyta,192835019.2
1956,Scolopsis spp,1e-04,Scolopsis spp,192835019.2
1956,Scylla serrata,1e-04,Scylla serrata,192835019.2
1956,Scyllaridae,1e-04,Scyllaridae,192835019.2
1956,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,192835019.2
1956,Serranidae,1e-04,Serranidae,192835019.2
1956,Siganus spp,1e-04,Siganus spp,192835019.2
1956,Testudinata,1e-04,Testudinata,192835019.2
1956,Thenus orientalis,1e-04,Thenus orientalis,192835019.2
1956,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,192835019.2
1956,Zeus faber,1e-04,Zeus faber,192835019.2
1957,Anadara granosa,1e-04,Anadara granosa,256323154.6
1957,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,256323154.6
1957,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,256323154.6
1957,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,256323154.6
1957,Crassostrea spp,1e-04,Crassostrea spp,256323154.6
1957,Ex Mollusca,1e-04,Ex Mollusca,256323154.6
1957,Genypterus blacodes,1e-04,Genypterus blacodes,256323154.6
1957,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,256323154.6
1957,Istiophoridae,1e-04,Istiophoridae,256323154.6
1957,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,256323154.6
1957,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,256323154.6
1957,Megalops cyprinoides,1e-04,Megalops cyprinoides,256323154.6
1957,Meretrix spp,1e-04,Meretrix spp,256323154.6
1957,Monacanthidae,1e-04,Monacanthidae,256323154.6
1957,Mustelus antarcticus,1e-04,Mustelus antarcticus,256323154.6
1957,Paphies australis,1e-04,Paphies australis,256323154.6
1957,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,256323154.6
1957,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,256323154.6
1957,Rachycentron canadum,1e-04,Rachycentron canadum,256323154.6
1957,Rexea solandri,1e-04,Rexea solandri,256323154.6
1957,Rhodophyta,1e-04,Rhodophyta,256323154.6
1957,Scolopsis spp,1e-04,Scolopsis spp,256323154.6
1957,Scylla serrata,1e-04,Scylla serrata,256323154.6
1957,Scyllaridae,1e-04,Scyllaridae,256323154.6
1957,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,256323154.6
1957,Serranidae,1e-04,Serranidae,256323154.6
1957,Siganus spp,1e-04,Siganus spp,256323154.6
1957,Testudinata,1e-04,Testudinata,256323154.6
1957,Thenus orientalis,1e-04,Thenus orientalis,256323154.6
1957,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,256323154.6
1957,Zeus faber,1e-04,Zeus faber,256323154.6
1958,Anadara granosa,1e-04,Anadara granosa,229344736.7
1958,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,229344736.7
1958,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,229344736.7
1958,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,229344736.7
1958,Crassostrea spp,1e-04,Crassostrea spp,229344736.7
1958,Ex Mollusca,1e-04,Ex Mollusca,229344736.7
1958,Genypterus blacodes,1e-04,Genypterus blacodes,229344736.7
1958,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,229344736.7
1958,Istiophoridae,1e-04,Istiophoridae,229344736.7
1958,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,229344736.7
1958,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,229344736.7
1958,Megalops cyprinoides,1e-04,Megalops cyprinoides,229344736.7
1958,Meretrix spp,1e-04,Meretrix spp,229344736.7
1958,Monacanthidae,1e-04,Monacanthidae,229344736.7
1958,Mustelus antarcticus,1e-04,Mustelus antarcticus,229344736.7
1958,Paphies australis,1e-04,Paphies australis,229344736.7
1958,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,229344736.7
1958,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,229344736.7
1958,Rachycentron canadum,1e-04,Rachycentron canadum,229344736.7
1958,Rexea solandri,1e-04,Rexea solandri,229344736.7
1958,Rhodophyta,1e-04,Rhodophyta,229344736.7
1958,Scolopsis spp,1e-04,Scolopsis spp,229344736.7
1958,Scylla serrata,1e-04,Scylla serrata,229344736.7
1958,Scyllaridae,1e-04,Scyllaridae,229344736.7
1958,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,229344736.7
1958,Serranidae,1e-04,Serranidae,229344736.7
1958,Siganus spp,1e-04,Siganus spp,229344736.7
1958,Testudinata,1e-04,Testudinata,229344736.7
1958,Thenus orientalis,1e-04,Thenus orientalis,229344736.7
1958,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,229344736.7
1958,Zeus faber,1e-04,Zeus faber,229344736.7
1959,Anadara granosa,1e-04,Anadara granosa,312107996.7
1959,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,312107996.7
1959,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,312107996.7
1959,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,312107996.7
1959,Crassostrea spp,1e-04,Crassostrea spp,312107996.7
1959,Ex Mollusca,1e-04,Ex Mollusca,312107996.7
1959,Genypterus blacodes,1e-04,Genypterus blacodes,312107996.7
1959,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,312107996.7
1959,Istiophoridae,1e-04,Istiophoridae,312107996.7
1959,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,312107996.7
1959,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,312107996.7
1959,Megalops cyprinoides,1e-04,Megalops cyprinoides,312107996.7
1959,Meretrix spp,1e-04,Meretrix spp,312107996.7
1959,Monacanthidae,1e-04,Monacanthidae,312107996.7
1959,Mustelus antarcticus,1e-04,Mustelus antarcticus,312107996.7
1959,Paphies australis,1e-04,Paphies australis,312107996.7
1959,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,312107996.7
1959,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,312107996.7
1959,Rachycentron canadum,1e-04,Rachycentron canadum,312107996.7
1959,Rexea solandri,1e-04,Rexea solandri,312107996.7
1959,Rhodophyta,1e-04,Rhodophyta,312107996.7
1959,Scolopsis spp,1e-04,Scolopsis spp,312107996.7
1959,Scylla serrata,1e-04,Scylla serrata,312107996.7
1959,Scyllaridae,1e-04,Scyllaridae,312107996.7
1959,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,312107996.7
1959,Serranidae,1e-04,Serranidae,312107996.7
1959,Siganus spp,1e-04,Siganus spp,312107996.7
1959,Testudinata,1e-04,Testudinata,312107996.7
1959,Thenus orientalis,1e-04,Thenus orientalis,312107996.7
1959,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,312107996.7
1959,Zeus faber,1e-04,Zeus faber,312107996.7
1960,Anadara granosa,1e-04,Anadara granosa,288793467.6
1960,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,288793467.6
1960,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,288793467.6
1960,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,288793467.6
1960,Crassostrea spp,1e-04,Crassostrea spp,288793467.6
1960,Ex Mollusca,1e-04,Ex Mollusca,288793467.6
1960,Genypterus blacodes,1e-04,Genypterus blacodes,288793467.6
1960,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,288793467.6
1960,Istiophoridae,1e-04,Istiophoridae,288793467.6
1960,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,288793467.6
1960,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,288793467.6
1960,Megalops cyprinoides,1e-04,Megalops cyprinoides,288793467.6
1960,Meretrix spp,1e-04,Meretrix spp,288793467.6
1960,Monacanthidae,1e-04,Monacanthidae,288793467.6
1960,Mustelus antarcticus,1e-04,Mustelus antarcticus,288793467.6
1960,Paphies australis,1e-04,Paphies australis,288793467.6
1960,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,288793467.6
1960,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,288793467.6
1960,Rachycentron canadum,1e-04,Rachycentron canadum,288793467.6
1960,Rexea solandri,1e-04,Rexea solandri,288793467.6
1960,Rhodophyta,1e-04,Rhodophyta,288793467.6
1960,Scolopsis spp,1e-04,Scolopsis spp,288793467.6
1960,Scylla serrata,1e-04,Scylla serrata,288793467.6
1960,Scyllaridae,1e-04,Scyllaridae,288793467.6
1960,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,288793467.6
1960,Serranidae,1e-04,Serranidae,288793467.6
1960,Siganus spp,1e-04,Siganus spp,288793467.6
1960,Testudinata,1e-04,Testudinata,288793467.6
1960,Thenus orientalis,1e-04,Thenus orientalis,288793467.6
1960,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,288793467.6
1960,Zeus faber,1e-04,Zeus faber,288793467.6
1961,Anadara granosa,1e-04,Anadara granosa,270805835.7
1961,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,270805835.7
1961,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,270805835.7
1961,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,270805835.7
1961,Crassostrea spp,1e-04,Crassostrea spp,270805835.7
1961,Ex Mollusca,1e-04,Ex Mollusca,270805835.7
1961,Genypterus blacodes,1e-04,Genypterus blacodes,270805835.7
1961,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,270805835.7
1961,Istiophoridae,1e-04,Istiophoridae,270805835.7
1961,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,270805835.7
1961,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,270805835.7
1961,Megalops cyprinoides,1e-04,Megalops cyprinoides,270805835.7
1961,Meretrix spp,1e-04,Meretrix spp,270805835.7
1961,Monacanthidae,1e-04,Monacanthidae,270805835.7
1961,Mustelus antarcticus,1e-04,Mustelus antarcticus,270805835.7
1961,Paphies australis,1e-04,Paphies australis,270805835.7
1961,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,270805835.7
1961,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,270805835.7
1961,Rachycentron canadum,1e-04,Rachycentron canadum,270805835.7
1961,Rexea solandri,1e-04,Rexea solandri,270805835.7
1961,Rhodophyta,1e-04,Rhodophyta,270805835.7
1961,Scolopsis spp,1e-04,Scolopsis spp,270805835.7
1961,Scylla serrata,1e-04,Scylla serrata,270805835.7
1961,Scyllaridae,1e-04,Scyllaridae,270805835.7
1961,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,270805835.7
1961,Serranidae,1e-04,Serranidae,270805835.7
1961,Siganus spp,1e-04,Siganus spp,270805835.7
1961,Testudinata,1e-04,Testudinata,270805835.7
1961,Thenus orientalis,1e-04,Thenus orientalis,270805835.7
1961,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,270805835.7
1961,Zeus faber,1e-04,Zeus faber,270805835.7
1962,Anadara granosa,1e-04,Anadara granosa,394752932.7
1962,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,394752932.7
1962,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,394752932.7
1962,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,394752932.7
1962,Crassostrea spp,1e-04,Crassostrea spp,394752932.7
1962,Ex Mollusca,1e-04,Ex Mollusca,394752932.7
1962,Genypterus blacodes,1e-04,Genypterus blacodes,394752932.7
1962,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,394752932.7
1962,Istiophoridae,1e-04,Istiophoridae,394752932.7
1962,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,394752932.7
1962,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,394752932.7
1962,Megalops cyprinoides,1e-04,Megalops cyprinoides,394752932.7
1962,Meretrix spp,1e-04,Meretrix spp,394752932.7
1962,Monacanthidae,1e-04,Monacanthidae,394752932.7
1962,Mustelus antarcticus,1e-04,Mustelus antarcticus,394752932.7
1962,Paphies australis,1e-04,Paphies australis,394752932.7
1962,Penaeus latisulcatus,1e-04,Penaeus latisulcatus,394752932.7
1962,Pterygotrigla polyommata,1e-04,Pterygotrigla polyommata,394752932.7
1962,Rachycentron canadum,1e-04,Rachycentron canadum,394752932.7
1962,Rexea solandri,1e-04,Rexea solandri,394752932.7
1962,Rhodophyta,1e-04,Rhodophyta,394752932.7
1962,Scolopsis spp,1e-04,Scolopsis spp,394752932.7
1962,Scylla serrata,1e-04,Scylla serrata,394752932.7
1962,Scyllaridae,1e-04,Scyllaridae,394752932.7
1962,Seriolina nigrofasciata,1e-04,Seriolina nigrofasciata,394752932.7
1962,Serranidae,1e-04,Serranidae,394752932.7
1962,Siganus spp,1e-04,Siganus spp,394752932.7
1962,Testudinata,1e-04,Testudinata,394752932.7
1962,Thenus orientalis,1e-04,Thenus orientalis,394752932.7
1962,Zenopsis nebulosus,1e-04,Zenopsis nebulosus,394752932.7
1962,Zeus faber,1e-04,Zeus faber,394752932.7
1963,Anadara granosa,1e-04,Anadara granosa,368578087.1
1963,Bregmaceros mcclellandi,1e-04,Bregmaceros mcclellandi,368578087.1
1963,Carcharhinus longimanus,1e-04,Carcharhinus longimanus,368578087.1
1963,Chelidonichthys kumu,1e-04,Chelidonichthys kumu,368578087.1
1963,Crassostrea spp,1e-04,Crassostrea spp,368578087.1
1963,Ex Mollusca,1e-04,Ex Mollusca,368578087.1
1963,Genypterus blacodes,1e-04,Genypterus blacodes,368578087.1
1963,Hoplostethus atlanticus,1e-04,Hoplostethus atlanticus,368578087.1
1963,Istiophoridae,1e-04,Istiophoridae,368578087.1
1963,Isurus oxyrinchus,1e-04,Isurus oxyrinchus,368578087.1
1963,Macruronus novaezelandiae,1e-04,Macruronus novaezelandiae,368578087.1
