variable,year,mean,sd,lower,upper
b_t,1951,123986.99379446,114429.889267025,31465.7827435481,298162.998956039
b_t,1952,74.7536635482849,188.206629957971,2.13282124554769,283.843378163511
b_t,1953,2.46392094336933,7.91120485309704,0.051566501654963,8.30223062149985
b_t,1954,0.442907412317397,1.55608841929428,0.0258142252000782,1.65303264832092
b_t,1955,0.210469648078222,0.861704210772658,0.0232577901781409,0.527139339354064
b_t,1956,0.130732062943473,0.290045905592663,0.02141912207685,0.344497580577735
b_t,1957,0.12241974211494,0.305401886790422,0.0204190224328769,0.324210811598129
b_t,1958,0.111611992939806,0.18343888263297,0.0213227661914651,0.303606091209356
b_t,1959,0.101235783602993,0.164129134591333,0.01970784264298,0.273997978413743
b_t,1960,0.112366085242851,0.216146886353158,0.0203026045342343,0.284167285385005
b_t,1961,0.118338068330395,0.30294453839139,0.0224563990687793,0.282503213837771
b_t,1962,0.100519355673275,0.123156990078774,0.0210217850664912,0.279451391795963
b_t,1963,0.121022569586892,0.264966852586437,0.0203861954349317,0.311872407530992
b_t,1964,0.107829121478247,0.211740989622335,0.0198899002844241,0.279397902802958
b_t,1965,0.112150713321977,0.181602100393599,0.0198123697416798,0.31652720469124
b_t,1966,0.114073422545494,0.284960634539483,0.023230827653927,0.291611288329202
b_t,1967,0.134889013737074,0.88391968234634,0.0200157366302195,0.297814229368388
b_t,1968,0.110900236429854,0.264237898497399,0.0203779884172266,0.270650087560882
b_t,1969,0.116102450916643,0.33276027360183,0.0217267907001072,0.287364253217071
b_t,1970,0.10569730239665,0.195639779670775,0.0200987818597136,0.275443399802293
b_t,1971,0.0998365119745905,0.196817069594715,0.0209160174569233,0.246696155665824
b_t,1972,0.133433588975157,1.05161930382282,0.0206083551759286,0.307668054867465
b_t,1973,0.20403204093774,0.643968140532363,0.0201943152753964,0.62453279950965
b_t,1974,2.26461317140645,6.67117129073007,0.0388234445459291,8.45770756794558
b_t,1975,363.969122218352,1084.79380957352,8.2238252024029,1265.64279094711
b_t,1976,8411.06954316916,17187.4096547761,279.463657876604,32114.7795251076
b_t,1977,53241.9269984739,85781.5473430217,3095.65099171537,185742.087609732
b_t,1978,65184.5386088495,107828.404053173,3542.11874313488,232636.430958373
b_t,1979,83861.5559433053,130572.308173292,5742.17091299164,292335.121524414
b_t,1980,95855.4925189577,130174.825145479,6317.92140524287,310574.278669703
b_t,1981,102711.5289101,142719.683226816,7607.78405023926,338346.386587847
b_t,1982,107103.570016727,129177.072608178,12326.1493187003,343336.291140408
b_t,1983,99410.4499817386,121985.47967412,7153.99123693581,314438.217982134
b_t,1984,90911.8336910841,120168.696710094,7553.37445016199,295734.759174148
b_t,1985,101352.604205691,125870.607756121,8278.36749153403,329805.629658827
b_t,1986,86565.1235175058,152902.577183323,5870.49488290551,284171.714468503
b_t,1987,92484.2951069509,138168.699836906,6610.87576769192,315694.918190542
b_t,1988,84957.841083311,121238.86067747,6051.81666892559,259237.432484662
b_t,1989,84209.9307430481,128640.469883747,5453.24188890389,275672.776105691
