variable,year,mean,sd,lower,upper
b_t,1951,632730.244608266,543605.433813805,142005.917619679,1610640.64371874
b_t,1952,208.267439838462,511.186910662075,7.15691002672457,843.770212015784
b_t,1953,5.29393556147736,18.3384247771752,0.198665207706147,17.5948952128922
b_t,1954,0.856476874553445,2.24237095202237,0.104838753972425,2.16657482068891
b_t,1955,0.533013371491191,0.860537297394238,0.0984807829738625,1.46189481115048
b_t,1956,0.511314906223985,0.698683473143119,0.0967468059606842,1.36731266788277
b_t,1957,0.528451201513721,0.995682790589714,0.0969061888693255,1.33168151921852
b_t,1958,0.522120322977892,1.27706672968371,0.093650340912471,1.35596172718809
b_t,1959,0.488793988395448,0.635223221436591,0.0943415346113331,1.29004800396737
b_t,1960,0.500631582308676,0.651241174767125,0.0948809405085118,1.40583190777551
b_t,1961,0.574758715687721,0.876587473200095,0.0951718228414127,1.62888485612036
b_t,1962,0.491314969745551,0.729693321425124,0.093914440012875,1.27352027756846
b_t,1963,0.517465004883361,0.656407614891455,0.0952004475344356,1.45496049323337
b_t,1964,0.491882289596064,0.675777396417764,0.101764255025211,1.22874031374942
b_t,1965,0.517483098161994,0.734432608126382,0.0929356240847863,1.35322310744638
b_t,1966,0.511300642158967,0.898471633010238,0.0960254885407939,1.27808445703666
b_t,1967,0.451379306241384,0.418834965129945,0.0919212846711852,1.22673798147318
b_t,1968,0.463610687800307,0.479186660652203,0.092299930097403,1.27928771350963
b_t,1969,0.484706845450259,0.514525889614787,0.09713458811387,1.36230520588428
b_t,1970,0.480682318840155,0.570173420210371,0.0971607038778402,1.2782419062488
b_t,1971,0.484521643782289,0.606269245509008,0.0987462331607567,1.26530541206789
b_t,1972,0.736160188316887,1.45201220151952,0.0961290800515692,2.22750440225347
b_t,1973,10.211039296176,28.5735664700345,0.173708955594526,41.7353403567423
b_t,1974,3008.84966305509,15149.8974968004,124.972364308795,10569.4069694554
b_t,1975,54757.6032538849,132294.125550545,1873.00782948361,176081.229328133
b_t,1976,301237.358821975,474773.847140769,17315.3636246507,1057882.21673146
b_t,1977,466792.758203538,633140.907672282,36563.8191953933,1449041.49541808
b_t,1978,553225.846561268,763368.333001599,40106.3555788258,1736411.24135088
b_t,1979,543142.467888919,730274.348723826,28959.6263832858,1714724.99017006
b_t,1980,499476.22122079,623841.693771218,39716.7759290518,1573772.21462988
b_t,1981,513197.663931418,692789.652996002,27972.9330690931,1780209.4034185
b_t,1982,515792.786252076,721049.419141205,38598.0467165361,1843589.47543721
b_t,1983,524523.790160661,644528.029726126,33741.6079429551,1781668.643374
b_t,1984,488022.999365119,659636.157561335,31298.0905185738,1566488.10871866
b_t,1985,425170.990160563,654545.565186556,27933.8716911629,1396158.79137909
b_t,1986,418356.949296952,721584.930279628,23422.7510560822,1421730.02903674
b_t,1987,487014.220416864,692961.190271865,38876.8391493537,1626234.1657814
b_t,1988,432686.014872641,612100.961170633,26747.2200519711,1553973.47688179
b_t,1989,433998.296470576,722898.664406225,27835.0010521569,1354865.74375766
b_t,1990,407891.410479669,548427.238455714,28552.0335200624,1317250.61626977
b_t,1991,628270.624391649,764041.382997241,38264.5758227467,2277226.69827692
b_t,1992,483694.214353983,647572.16052984,40634.842839002,1462663.42491357
b_t,1993,446148.40783956,700504.618033833,20934.2348920166,1739613.18214339
b_t,1994,466068.977825444,677438.359743959,23890.760385688,1679962.42623056
b_t,1995,505838.476753286,617658.864574624,39781.9458965182,1672188.69268295
b_t,1996,495571.513528121,599971.581058839,43598.7802446365,1492094.42896193
b_t,1997,492880.398915493,725480.372777457,35108.9327202049,1622142.86597244
b_t,1998,529492.233448007,669674.338284122,36276.5273868639,1661986.07499651
b_t,1999,473387.926735492,581347.341242816,34630.7017321101,1566067.74544277
b_t,2000,443882.064237326,668606.034069751,32113.5972102048,1489940.0392013
b_t,2001,365480.805032706,519332.15621915,24319.6042310339,1275000.29326582
b_t,2002,383072.882916155,536649.640181299,22609.2668500961,1396381.68007829
b_t,2003,356311.947104645,536931.377216854,22080.3646629293,1340054.11757108
b_t,2004,460864.401689535,621511.298040985,30109.6108803642,1579580.53958175
b_t,2005,413657.685024078,584985.74120592,25605.4884773155,1563873.8274916
b_t,2006,415582.966349331,544705.118127436,25090.8088306352,1415810.85661139
b_t,2007,479331.791151606,684606.812195254,25848.7542344704,1669681.47027969
b_t,2008,513156.158418084,713092.072950639,32778.4547258219,1944406.59056329
b_t,2009,403530.871423997,713173.949301839,20309.2917500426,1369625.851127
b_t,2010,357261.020277729,597786.119911385,20481.4968013291,1152018.41492263
b_t,2011,233396.721401323,400152.340551487,10607.7864087274,805016.865062485
b_t,2012,252071.23099867,409729.178164567,11680.2994957008,878937.592000337
b_t,2013,231095.580330949,448996.304277247,9895.71066868492,796129.180472952
b_t,2014,168838.031257724,298796.830152007,7438.81909790165,654248.681087329
b_t,2015,127951.139934398,246558.593000121,5645.61970299852,501850.088655755
b_t,2016,196574.165457063,364974.105569876,5638.52188982674,840573.120408064
b_t,2017,240187.57029584,477066.10670992,4704.20962031152,949024.467872427
b_t,2018,330555.300422816,629373.189519538,9628.23403857709,1242619.59684565
b_t,2019,342669.483073144,304657.359295684,69468.0458945693,911789.101985104
bmsy,1951,389339.881300469,334649.854896171,88217.4482669108,986178.273874165
ck,1951,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1952,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1953,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1954,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1955,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1956,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1957,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1958,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1959,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1960,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1961,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1962,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1963,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1964,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1965,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1966,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1967,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1968,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1969,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1970,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1971,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1972,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1973,2.26956283350288e-10,1.87729633756994e-10,5.07008315279443e-11,5.66782789442772e-10
ck,1974,6.58173221715834e-05,5.44415937895281e-05,1.47032411431039e-05,0.000164367008938404
ck,1975,0.000152060709844693,0.000125778854617186,3.39695571237227e-05,0.000379744468926657
ck,1976,0.00243524092034859,0.00201433897021254,0.000544019922294843,0.00608157933072094
ck,1977,0.005912211181275,0.00489035695936968,0.00132075666130295,0.0147646916649842
ck,1978,0.00960252034855067,0.0079428408042584,0.00214515218194732,0.0239805798213237
ck,1979,0.00458224736084231,0.0037902613055537,0.0010236497885492,0.0114433445188496
ck,1980,0.00406705659763716,0.00336411503692533,0.000908558900980762,0.0101567475868145
ck,1981,0.00360179621676907,0.00297926928772349,0.000804622196348476,0.00899484286845679
ck,1982,0.00616413265579382,0.00509873685283995,0.00137703458429897,0.0153938205612657
ck,1983,0.00452777785283824,0.00374520619345202,0.00101148158898249,0.0113073166493833
ck,1984,0.0048931774690322,0.00404745090380078,0.00109310992774248,0.0122198369403862
ck,1985,0.00283014485337809,0.00234098853294971,0.000632239369153466,0.00706778138435137
ck,1986,0.00265992764086537,0.00220019130763197,0.000594213745507508,0.00664269429226929
ck,1987,0.00462990818034587,0.00382968452864267,0.00103429696317006,0.0115623689046326
ck,1988,0.00462990818034587,0.00382968452864267,0.00103429696317006,0.0115623689046326
ck,1989,0.0037879003691163,0.00313320758740422,0.000846196878201391,0.00945960475579987
ck,1990,0.00279610141087555,0.00231282908788616,0.000624634244424274,0.00698276396593495
ck,1991,0.0420368428021403,0.0347712827644704,0.00939080801560585,0.10497950826059
ck,1992,0.0078095657100834,0.00645977669757815,0.00174461561287656,0.0195029957847258
ck,1993,0.00315923146423601,0.00261319650189735,0.000705755574868985,0.00788961642904339
ck,1994,0.00482509058402712,0.00399113201367368,0.0010778996782841,0.0120498021035533
ck,1995,0.00697663615018785,0.00577080894168998,0.00155854356116901,0.0174229029474708
ck,1996,0.00838149554412613,0.00693285537464577,0.00187238170832698,0.0209312884141216
ck,1997,0.00951173783521056,0.0078677489507556,0.00212487184933615,0.0237538667055466
ck,1998,0.0167085215802482,0.0138206556371899,0.00373259521708726,0.0417265489587769
ck,1999,0.00942776401037095,0.00779828898626552,0.00210611254167081,0.0235441570734528
ck,2000,0.00755991379839808,0.00625327410044546,0.00168884469819583,0.0188795347163387
ck,2001,0.00540836823223736,0.00447359717242916,0.00120820081531091,0.0135064338724213
ck,2002,0.00586681992460494,0.00485281103261829,0.00131061649499736,0.0146513351070957
ck,2003,0.00420776949331433,0.00348050740985466,0.000939993416528088,0.010508152916269
ck,2004,0.00856986925930686,0.00708867097066408,0.00191446339849518,0.0214017181293591
ck,2005,0.00832248691045505,0.00688404566986896,0.00185919949212972,0.0207839248888664
ck,2006,0.00871058215498404,0.00720506334359342,0.0019458979140425,0.0217531234588136
ck,2007,0.0088331385479932,0.00730643734582219,0.00197327636306759,0.0220591861651127
ck,2008,0.0176163467136493,0.0145715741722178,0.00393539854319904,0.043993680116548
ck,2009,0.00384010031428687,0.00317638540316833,0.000857858069452818,0.0095899647973717
ck,2010,0.00492495134870124,0.00407373305252676,0.00110020804415639,0.0122991865309082
ck,2011,0.00162727655162156,0.00134602147403764,0.000363524962055361,0.00406383260030468
ck,2012,0.00192231971997694,0.00159006999792174,0.000429436043041688,0.00480065022658028
ck,2013,0.00150925928427941,0.00124840206448401,0.00033716052966083,0.00376910554979443
ck,2014,0.00104172934057782,0.000861679018944601,0.000232716816713264,0.00260153300354232
ck,2015,0.000326817048024414,0.000270330672610071,7.30091974002398e-05,0.000816167216797592
ck,2016,0.00079661655455951,0.000658931014487048,0.000177959918663085,0.00198940759094413
