variable,year,mean,sd,lower,upper
b_t,1951,138387.434626937,21127.996119655,116297.057739954,183055.116465251
b_t,1952,424804.042556213,65039.9971320674,357736.480978255,562558.931433312
b_t,1953,28.5254586982179,19.2003531192369,4.94674370178166,69.8551102720909
b_t,1954,7.49581918287095,5.03464191269611,1.30376478633754,18.2702863899106
b_t,1955,1.52229443639055,0.807678752714723,0.279789943102541,2.99312823740382
b_t,1956,0.419599903312391,0.208236597321129,0.109945668607275,0.784828715671679
b_t,1957,0.573480050796522,0.28932390885885,0.149125788031373,1.09115213121512
b_t,1958,0.606965671868197,0.33017653887284,0.148368012074849,1.23349341599554
b_t,1959,0.290242875957816,0.144132663372167,0.103853402871997,0.566053852038144
b_t,1960,0.274923424344717,0.132497497806544,0.112471114107246,0.535241201604546
b_t,1961,0.359857834806389,0.171067630504609,0.145704721048316,0.683152174777407
b_t,1962,0.15467763408865,0.0544800603462602,0.0936044127485009,0.265087424601084
b_t,1963,0.320837898072408,0.113233666785906,0.19313434881856,0.547431251070671
b_t,1964,0.180294543696668,0.0596243123253718,0.115285650072517,0.30074574279192
b_t,1965,0.537360472868596,0.174736909566061,0.345380972930952,0.879413627734932
b_t,1966,0.279565685624861,0.0895341268100354,0.182131455145243,0.457053074178868
b_t,1967,0.166077348237515,0.0491318285380468,0.114519758072844,0.265204589852775
b_t,1968,0.377936845983744,0.109866120347289,0.248793139807842,0.588501479010499
b_t,1969,1.0153532022319,0.286451864746647,0.678538464863157,1.56834085343324
b_t,1970,1.44278862047411,0.440475056582783,0.928383554042731,2.31079480942057
b_t,1971,3.06658765838404,0.897186901776666,2.04487288620469,4.80590871131043
b_t,1972,3.8905445551548,1.12690586219056,2.59041987887081,6.09914355616106
b_t,1973,9.34016627849576,3.26787164892712,5.85284373603105,16.0007526771207
b_t,1974,3279.97216274356,807.308461227728,2266.01726306996,4811.73908044393
b_t,1975,1505.25622173301,375.993697117957,1015.01005187966,2163.77759067645
b_t,1976,3867.62092742835,1041.79366438913,2510.64513058131,5642.71497565562
b_t,1977,21071.5854590717,6952.97886839365,12389.6227377133,33061.7603459495
b_t,1978,229948.937700246,71381.8775919838,139769.765628057,353335.294358877
b_t,1979,62284.7455461914,15035.7997927401,35281.0246881283,90240.0942196927
b_t,1980,39767.0567297429,9095.19759419978,24220.4716179912,57194.698305477
b_t,1981,36723.4665264761,8682.3305196815,23055.0016115984,53636.7797257057
b_t,1982,83875.3727852179,17519.3618235808,54748.7520007434,116053.119452488
b_t,1983,190737.179710377,35875.7997465585,134601.939723742,253218.751954089
