variable,year,mean,sd,lower,upper
b_t,1951,11192.4835039098,8419.03789303523,4245.25887015648,25405.6088137329
b_t,1952,7.64488693858144,11.074167954918,0.54764723091607,24.8792273343456
b_t,1953,0.318646951894442,0.63171461641986,0.0141943842023514,1.25120640877482
b_t,1954,0.059567821416935,0.170742436053716,0.00431037248676418,0.181395264407605
b_t,1955,0.0337010942176582,0.105626711924449,0.00320821490072519,0.105671950813749
b_t,1956,0.019548275738488,0.0509628404169269,0.00300393092072533,0.0669514053737787
b_t,1957,0.0164502877246887,0.0608118487113706,0.00307725351404345,0.0462278198715755
b_t,1958,0.0150454820788861,0.0503691174788131,0.00309017770077933,0.0406132533971411
b_t,1959,0.013144583475749,0.0257438844088607,0.00324541419426471,0.0328265852987718
b_t,1960,0.0122631483201484,0.0204946417285339,0.00335298274449978,0.0343214244914801
b_t,1961,0.0121072919480223,0.0179763700467918,0.00341992828915974,0.0323358530775333
b_t,1962,0.0128375819095653,0.0241464474737562,0.00324968571629963,0.0333017759510365
b_t,1963,0.0107230729726067,0.0200241242822082,0.00312657770471905,0.0253574407377098
b_t,1964,0.0108230668499275,0.0199562226669774,0.00298981185701505,0.0269497298204046
b_t,1965,0.0101431492813007,0.0176200117397477,0.00302678835564585,0.0243515358844491
b_t,1966,0.0101285769240504,0.0150222990700531,0.00316170339015082,0.0238419718432099
b_t,1967,0.00970635660696717,0.0136225117462989,0.00293405985641347,0.02371907437665
b_t,1968,0.00994221549602474,0.0171270663198757,0.00293227895478919,0.023900277633683
b_t,1969,0.00971422101508379,0.0106299884826878,0.00315427151340662,0.022646284635331
b_t,1970,0.0106208575101028,0.0147940113515563,0.00325063768694347,0.0262924637644524
b_t,1971,0.0125016340974834,0.033724165247549,0.00323020866148239,0.0294187664330727
b_t,1972,0.0101281138158867,0.0130622782253152,0.00295326011621757,0.025358209546438
b_t,1973,0.0104293932562623,0.0114002581817181,0.00308786995130029,0.0269567889659219
b_t,1974,0.0108557045886438,0.0172056051979548,0.00300081272442658,0.026814771060324
b_t,1975,0.0104984963011517,0.0146720835692612,0.00314828288268633,0.0262912403985298
b_t,1976,0.0105843300723289,0.0147453107033414,0.003224245182433,0.0292630242262943
b_t,1977,0.0107729373932997,0.0249732307275933,0.00319335475029564,0.0241240653866019
b_t,1978,0.00973526868512111,0.0120735373450139,0.00290727909044743,0.0238426567585746
b_t,1979,0.0156436991047903,0.0292448397512889,0.00307336517766353,0.055418834179153
b_t,1980,0.0952119137571027,0.322495535445639,0.00407283391964184,0.325444475865317
b_t,1981,1.3792380861204,2.5131738867689,0.0815809169034339,5.63786693003858
b_t,1982,1003.39479841433,1745.91821599201,225.333460579546,2561.27528690823
