variable,year,mean,sd,lower,upper
b_t,1951,3999331.72095481,3333924.35919606,968152.966298852,9549383.17856721
b_t,1952,1441.92086447389,7023.75318376745,18.0357073259541,3829.30540051643
b_t,1953,20.1404195021968,71.4536737602758,1.04181621933202,72.9775388754144
b_t,1954,4.40208660551198,12.2693098911028,0.689271390047373,10.7041310814982
b_t,1955,3.00001530816758,3.6829758244955,0.684839615091622,7.07947997298579
b_t,1956,3.43131687607594,7.49901480903239,0.656895559516324,8.17114764032176
b_t,1957,3.1085168229698,4.46346083052564,0.636611681065258,7.39171266586235
b_t,1958,2.75389069740188,2.76134317967799,0.653074113464965,6.57978973219517
b_t,1959,3.05181566680447,3.98697214913062,0.662200426061593,7.48986713535002
b_t,1960,2.81710960004139,2.74498534385948,0.664415263332532,6.71188359689495
b_t,1961,3.06478926045334,6.67171802553113,0.664639027211069,7.20346838713608
b_t,1962,3.33005984527382,9.12636667381043,0.675422656493061,6.65060757402459
b_t,1963,2.84649918928675,3.26574230685767,0.657608872237065,6.89864062560319
b_t,1964,2.94030606743807,3.38593213008391,0.651724380508759,7.02148443197683
b_t,1965,2.93074663868057,6.8149144080445,0.650773354341569,6.67291494465991
b_t,1966,2.9180071110709,2.84112899386814,0.660201977684632,6.90481485759179
b_t,1967,2.84928355372489,2.92703413115193,0.664641206345237,6.85121781242527
b_t,1968,2.7796394755821,2.64046699290604,0.64948014276399,6.82891666149707
b_t,1969,2.9599443462695,3.84907087659368,0.656960758564444,7.1759872786002
b_t,1970,3.07522515308805,4.55439999210176,0.699677055132538,7.71764541497528
b_t,1971,2.75967003451845,2.68599975053409,0.662245851351184,6.74606830421203
b_t,1972,3.22301968395187,4.36393185142677,0.689833752578554,7.6538025690917
b_t,1973,28.0608319190341,136.688048212515,0.733202852411841,88.1222575142362
b_t,1974,4669.23830860892,12716.9811491476,148.475255739386,16664.5391098446
b_t,1975,156388.802993088,430190.777191809,4818.95362258666,542701.296980929
b_t,1976,864075.891240996,1537218.93502914,32876.5258728144,2759170.24761248
b_t,1977,1217260.79560962,3003254.02277693,46066.3551972639,3907824.69874525
b_t,1978,1198082.92273047,2120642.82617507,69041.5213027471,4105770.89169079
b_t,1979,1569697.2442561,2402473.52509682,70530.6103520112,5929697.15979835
b_t,1980,1593371.56857335,2602537.18821433,79511.0517421286,5644941.55597113
b_t,1981,1630761.82091085,2775721.68160668,77658.1448098305,5917135.58664899
b_t,1982,1890860.5115051,3088495.32833523,91828.0276338037,6802407.32337548
b_t,1983,2203951.68110828,3557143.72091899,97804.5388566922,8281718.85341313
b_t,1984,2414281.49243021,3609593.57638484,129237.352149696,8792502.44619616
b_t,1985,3907283.23312407,4613997.44097851,347878.29254271,12506144.4299605
b_t,1986,4127051.5483761,4599739.33897298,432583.034550824,12861429.0176306
b_t,1987,4232876.39822703,5448069.08614748,531031.571768273,12876830.5896212
b_t,1988,4007870.33707488,4550678.53625992,291570.441292577,12717229.0930682
b_t,1989,4236274.09809542,5155796.02924134,286206.908555233,12548243.0471455
b_t,1990,4167231.90588249,5608273.78361441,382216.009455547,13358975.1014476
b_t,1991,4022527.65106455,4975520.72791815,390780.220613639,12503179.6170983
b_t,1992,4175654.0350083,4838901.0536698,400016.419064147,12698122.1326794
b_t,1993,4332857.36328471,5410053.23445368,493097.257331401,13363851.7314924
b_t,1994,4238050.97515103,4840371.95755772,347448.92265139,12707575.7369933
b_t,1995,3835410.70405181,4674389.30832938,371572.363336155,10688580.5649996
b_t,1996,4184209.35650985,5118580.74976329,481622.14519589,12873934.0284717
b_t,1997,3863819.27150548,4839139.26295047,402382.409725123,12033412.7339782
b_t,1998,3133384.68655666,4339851.71925048,223541.49558489,10442968.5846104
b_t,1999,2060870.91356722,3272109.83552051,105652.406867487,6806866.39767401
b_t,2000,2225809.53904825,3490434.30101364,94282.5427538174,7770645.62647239
b_t,2001,2083012.93085131,2987650.24474019,94873.784940062,7461077.24695241
b_t,2002,2023203.1753971,3160912.69507985,103000.18568341,7363868.32106115
b_t,2003,1901807.76619714,2965569.07174753,98823.5417672357,6877308.05970533
b_t,2004,1896013.65102306,3345398.61827075,98681.7562796636,6890034.80209777
b_t,2005,1407393.48459551,2223801.70599531,75415.6099765772,5004880.51570102
b_t,2006,1267753.32881488,2362821.53550012,48482.5753018302,4693546.99679293
b_t,2007,1218791.81462255,2214575.30278777,35252.111611289,4806759.25026389
b_t,2008,1034910.98580614,1964019.57970335,35996.5134415764,3669493.7953247
b_t,2009,1334285.35251263,2900170.21299562,50128.3423694135,4585850.06903662
b_t,2010,1518540.98294837,2568781.25723578,72356.2164534332,5320751.92338752
b_t,2011,1609147.71549646,2389187.28603598,55192.2399333165,5505048.34122162
b_t,2012,1797484.39133252,3558226.61742017,79865.2242241822,6700257.03007311
b_t,2013,2171985.20535216,3832192.182595,124566.043424545,7680528.53905891
b_t,2014,3171163.99074465,4138656.46941434,196579.282279773,10275669.5645345
b_t,2015,2836395.57050038,4692083.95552103,151847.697285816,9874472.93940778
b_t,2016,2100740.22094702,3581934.14948821,81229.7566946054,9199326.1665586
b_t,2017,1875579.18414261,3130754.57209323,103298.630687038,7260836.17782012
b_t,2018,1712852.67485202,2762453.56826318,62256.7464107861,6298006.46121514
b_t,2019,2146639.21126093,1856936.33379279,471460.77455961,5312058.52395783
bmsy,1951,2427218.62242878,1970748.48917476,610861.532436186,5888343.31902103
ck,1951,3.41223974093993e-11,2.5306142558881e-11,8.49135573826529e-12,8.18516145975392e-11
ck,1952,3.41223974093993e-11,2.5306142558881e-11,8.49135573826529e-12,8.18516145975392e-11
ck,1953,3.41223974093993e-11,2.5306142558881e-11,8.49135573826529e-12,8.18516145975392e-11
ck,1954,3.41223974093993e-11,2.5306142558881e-11,8.49135573826529e-12,8.18516145975392e-11
ck,1955,3.41223974093993e-11,2.5306142558881e-11,8.49135573826529e-12,8.18516145975392e-11
