variable,year,mean,sd,lower,upper
b_t,1951,115978.600419989,64257.0838949097,48132.5102161664,246156.494850596
b_t,1952,52.5156023546916,104.11134707783,2.68882303395946,204.833675963797
b_t,1953,1.38938078552032,2.57573113606865,0.067131660783765,5.07518012758209
b_t,1954,0.226929613619647,0.435779599938723,0.0359177138355692,0.832088687989073
b_t,1955,0.139154591171229,0.303950248353211,0.0342929183759591,0.322233652205207
b_t,1956,0.108230917223551,0.119545831840263,0.0338947219018143,0.278986634605375
b_t,1957,0.100891305650279,0.103738970033345,0.0332434450951693,0.238697900861838
b_t,1958,0.0999578606970137,0.118801083463812,0.0325908196997547,0.235001600284943
b_t,1959,0.101392434377479,0.212006748468747,0.0335756332804048,0.22896966893011
b_t,1960,0.105309725746988,0.128246191529753,0.0330801696051081,0.256829721270177
b_t,1961,0.104631078612936,0.142639622665936,0.0329757212904738,0.235298123044167
b_t,1962,0.0965041506770215,0.0900285204797041,0.0329587938909578,0.219561087531294
b_t,1963,0.0932976623860679,0.0848942088093542,0.0334153595139387,0.210148139734337
b_t,1964,0.0942443880395421,0.106351679207158,0.0329925021540393,0.209892441352241
b_t,1965,0.094930205403008,0.0935545109325865,0.0332940212149101,0.225503132248122
b_t,1966,0.0895104830406378,0.0985857045654055,0.0334206699296103,0.197878683403081
b_t,1967,0.0908842358168938,0.0987256375455032,0.0323054087688559,0.189031822537675
b_t,1968,0.0924644959614735,0.0963499778417918,0.0332379163634991,0.194125437777873
b_t,1969,0.092167329730399,0.144829663331709,0.0328519292341925,0.193526122351358
b_t,1970,0.0894888365140345,0.0853010798437401,0.0330642409431964,0.186124844988648
b_t,1971,0.100390977729581,0.11823907604087,0.0328126197229971,0.22641320185124
b_t,1972,0.216737209017313,0.679354485306811,0.0349055484167817,0.709403342089428
b_t,1973,2.82095073889195,4.97157569878372,0.0944440000165863,10.2563643777078
b_t,1974,1157.59693631806,2187.10577978357,102.741402962386,3976.51845820348
b_t,1975,7955.83273383711,14615.5178834146,454.579628966096,25443.3391135209
b_t,1976,29975.7179769202,48203.6890739506,2299.26697041631,107877.25874738
b_t,1977,85393.7846250271,93159.0453424804,8466.64669902808,260527.939501756
b_t,1978,68606.5450340651,86644.6317245753,4538.89898051406,244423.613978901
b_t,1979,34366.4926138603,54067.2226974104,2017.08660075653,116059.445026738
b_t,1980,34926.3092884624,54705.8243547406,2495.19696750835,120374.075481807
b_t,1981,33924.1074345791,51423.8515261658,2334.79169963979,113281.155612205
b_t,1982,32001.6590690686,42695.5030997759,2075.71018723123,108568.133623222
b_t,1983,33010.0102865136,49106.3904999195,2293.96620186834,109070.2393905
b_t,1984,39047.9051919936,62051.3251900651,2709.90924128457,148029.397839664
b_t,1985,40825.1985399769,59128.0985235863,2751.83568712402,144632.493748886
b_t,1986,40073.7306943739,56663.7648258995,2910.04319340143,143517.03068401
b_t,1987,55917.3875346129,77794.2904717149,3279.05088174584,182840.664737104
b_t,1988,45679.328323369,58881.0177826903,3987.40635996092,141756.572216949
b_t,1989,44831.1320568782,56135.4340818086,4179.85383936557,138541.582052827
b_t,1990,49374.3128247409,71840.7903322742,3866.71573899112,169132.291144228
b_t,1991,43070.0216224501,61631.2142550904,3588.65570045583,137667.931754664
b_t,1992,39210.9559632311,58818.7235239187,2099.8522629917,146788.761349391
b_t,1993,44259.7596822112,59924.8550683089,4011.26968017174,142724.144041567
b_t,1994,88220.0881106701,91078.9124002719,10154.3676359337,237610.696309416
b_t,1995,116037.522210473,107613.273302588,16660.0483439974,312560.800630177
b_t,1996,113831.761414648,102254.120501777,19759.5171612046,296982.295245541
b_t,1997,110489.915284694,105221.840857711,16730.3699913471,306688.0011585
b_t,1998,107916.929245506,107094.204638741,14016.3589836221,318241.748043855
b_t,1999,95264.012218727,101223.456925556,11615.9677342871,280960.174364591
b_t,2000,93078.0388595143,91742.9203389718,11450.8710688761,256848.886863151
b_t,2001,101030.30224911,104631.607616106,13692.4621041544,291351.493646605
b_t,2002,115780.055753885,119743.379788258,15327.7761067303,345678.538289967
b_t,2003,97436.4724741362,105725.255274386,10213.7548643537,277545.667746778
b_t,2004,105822.724687045,107452.75314923,12866.8501694094,304310.612959129
b_t,2005,95795.1866297433,96384.6311531478,12759.0673798132,273954.133816071
b_t,2006,96761.3334236156,99587.4463798925,13240.1241715843,286976.286223713
b_t,2007,97507.7083045606,94743.1884959819,10618.275789419,267315.59956601
b_t,2008,82028.3801256515,84487.536587139,9700.52683801911,234930.729962284
b_t,2009,86096.1545398369,83418.0931941514,10298.1892245228,229762.953153369
b_t,2010,96084.0291392385,91270.0637192271,10186.8760394494,258501.147236481
b_t,2011,96412.9770665362,99734.2663337172,11774.7671582217,287119.343439783
b_t,2012,78666.917910971,83976.8021300507,8346.97445622142,249840.885057775
b_t,2013,71143.9750636341,81060.9070401522,8048.17677093806,211805.996121071
b_t,2014,79875.3698013637,91244.8028218891,7836.29943009213,238337.615292808
b_t,2015,82753.1325548377,98067.6774053959,8113.98234881901,259204.54063746
b_t,2016,67511.448607127,86096.0956436903,5859.08032698833,224567.522418862
b_t,2017,65775.4036021638,87337.7531107829,6190.31467146621,221726.00169184
b_t,2018,66313.7812122867,89032.9825587265,5965.63914525951,242931.654526578
b_t,2019,63517.282895151,39045.7112757932,23145.9440594276,137643.920373939
bmsy,1951,71652.9668257209,39441.5137194933,30333.2725409659,149545.425961462
ck,1951,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1952,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1953,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1954,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1955,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1956,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1957,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1958,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1959,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1960,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1961,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1962,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1963,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1964,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1965,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1966,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1967,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1968,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1969,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1970,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1971,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1972,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1973,8.91264815775026e-10,4.36883688717877e-10,3.34347048707347e-10,1.64835496056808e-09
ck,1974,0.000320855333679009,0.000157278127938436,0.000120364937534645,0.000593407785804508
ck,1975,0.000231728852101507,0.000113589759066648,8.69302326639103e-05,0.0004285722897477
ck,1976,0.000454545056045263,0.000222810681246117,0.000170516994840747,0.00084066102988972
ck,1977,0.0168894682589367,0.00827894590120378,0.00633587657300423,0.0312363265027651
ck,1978,0.00368092368915086,0.00180432963440483,0.00138085331116134,0.00680770598714617
ck,1979,0.000401069167098762,0.000196597659923045,0.000150456171918306,0.000741759732255636
ck,1980,0.000561496833938266,0.000275236723892263,0.000210638640685629,0.00103846362515789
ck,1981,0.000597147426569267,0.000292712071440978,0.000224012522633923,0.00110439782358061
ck,1982,0.000454545056045263,0.000222810681246117,0.000170516994840747,0.00084066102988972
ck,1983,0.000641710667358019,0.000314556255876872,0.00024072987506929,0.00118681557160902
ck,1984,0.000935828056563777,0.000458727873153771,0.000351064401142715,0.00173077270859648
ck,1985,0.00103386718629903,0.000506785078912738,0.000387842576500523,0.00191209175425897
ck,1986,0.00139037311260904,0.000681538554399889,0.000521581395983462,0.0025714337384862
ck,1987,0.0017736169833923,0.000869398540548576,0.000665350626927621,0.00328022637153048
ck,1988,0.0018627434649698,0.000913086909420364,0.000698785331798356,0.00344506186758728
ck,1989,0.00155971342760629,0.000764546455256285,0.000585107335237858,0.00288462118099414
ck,1990,0.00198752053917831,0.000974250625840867,0.000745593918617385,0.00367583156206682
ck,1991,0.00196078259470506,0.00096114411517933,0.000735563507156164,0.00362638091324977
ck,1992,0.000739749797093271,0.000362613461635838,0.000277508050427098,0.00136813461727151
ck,1993,0.000846701574986274,0.000415039504281984,0.00031762969627198,0.00156593721253967
ck,1994,0.026051670565104,0.0127701102212236,0.00977296423371577,0.048181415497405
ck,1995,0.0370320530954523,0.0181525172662278,0.0138921198737903,0.0684891486116037
ck,1996,0.0370677036880833,0.0181699926137765,0.0139054937557386,0.0685550828100264
ck,1997,0.0293760883279448,0.0143996863801412,0.0110200787253942,0.0543297795003239
ck,1998,0.0382709111893796,0.0187597855935457,0.0143568622714935,0.0707803620067933
ck,1999,0.0235739543772494,0.0115555735665879,0.00884347943830934,0.0435989887070257
ck,2000,0.0237611199885622,0.0116473191412186,0.00891369231853788,0.043945143248745
ck,2001,0.0231728852101507,0.0113589759066648,0.00869302326639104,0.0428572289747701
ck,2002,0.0370320530954523,0.0181525172662278,0.0138921198737903,0.0684891486116037
ck,2003,0.0285115614566431,0.0139759092020849,0.010695762088148,0.0527308751885728
ck,2004,0.0345989001483865,0.016959824796028,0.0129793524308192,0.0639891395692528
ck,2005,0.0321300966086897,0.0157496569782795,0.0120532111058999,0.0594231963284792
ck,2006,0.0301336634213536,0.0147710375155514,0.0113042737167954,0.0557308812168068
ck,2007,0.0280302784561246,0.0137399920101772,0.0105152146818461,0.0518407635098661
ck,2008,0.0185739587607515,0.00910465607288057,0.00696779249506112,0.0343517173782388
ck,2009,0.0213992682267584,0.0104895773661162,0.00802767263946341,0.0395770026032396
ck,2010,0.0275044322148173,0.0134822306338337,0.0103179499231087,0.0508682340831309
ck,2011,0.0198484674473098,0.00972939974774713,0.00744590877471263,0.0367088649718511
ck,2012,0.0160071160913195,0.00784643104937308,0.00600487299478396,0.0296044550918027
ck,2013,0.0152495409979107,0.00747507991396288,0.00572067800338271,0.0282033533753198
ck,2014,0.0116577437903373,0.00571443864842984,0.0043732593970921,0.0215604828842305
ck,2015,0.0171568477036692,0.00841001100781914,0.00643618068761644,0.0317308329909355
ck,2016,0.0198217295028366,0.00971629323708559,0.00743587836325141,0.0366594143230341
ck,2017,0.0342156562776032,0.0167719648098793,0.0128355831998751,0.0632803469362086
ck,2018,0.0272727033627158,0.013368640874767,0.0102310196904448,0.0504396617933832
ck,2019,0.0236630808588269,0.0115992619354596,0.00887691414318008,0.0437638242030825
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.811520022593439,0.0796784966262555,0.695991267921244,0.943596099618657
dep_t,1952,0.000360670978469811,0.000622256214709677,2.60483108440649e-05,0.00127095052280442
dep_t,1953,1.02096557181189e-05,1.83326098143767e-05,6.28341651873772e-07,3.52583500906813e-05
