variable,year,mean,sd,lower,upper
b_t,1951,55035.0012128898,101915.791062367,10110.0195841446,148177.726749668
b_t,1952,47.5944347889853,204.662811656965,1.6101050852993,150.668329743989
b_t,1953,1.54331836350045,8.58123962791513,0.0309812233367669,4.52820564437649
b_t,1954,0.282229396642596,1.49042768301504,0.0102222398963007,1.02024642342876
b_t,1955,0.143036331242799,1.55898134641651,0.00745431192241999,0.36196727324662
b_t,1956,0.074865036763481,0.290193634888238,0.00733152129650648,0.234363092816231
b_t,1957,0.0787656219691452,0.334664092273921,0.00712979196006073,0.182699122488111
b_t,1958,0.0762918169998739,0.252270602716331,0.00719299699344852,0.228862459648214
b_t,1959,0.0546686085442782,0.128970299881216,0.0069093264052861,0.147489508023361
b_t,1960,0.0616172647868931,0.284858052734278,0.00711525699514122,0.156868364774695
b_t,1961,0.0514948257632614,0.11195115299569,0.00717564098991567,0.147394934552304
b_t,1962,0.0537016552917495,0.153860531771808,0.00731202984908358,0.138145455352236
b_t,1963,0.0540570723251972,0.19489998563826,0.00717522855463537,0.151225643615828
b_t,1964,0.0563893698799955,0.220143725912997,0.0072728721402147,0.130943205608578
b_t,1965,0.057761284748114,0.18889347965728,0.00727926606240897,0.162993351506312
b_t,1966,0.0559022016783572,0.150426203305251,0.00737765567619945,0.14817521487855
b_t,1967,0.0502299262706529,0.128432448555402,0.00681337317972423,0.148381379662792
b_t,1968,0.0486915401656001,0.14176727480865,0.0070234770203474,0.131064635443281
b_t,1969,0.0590114457928759,0.232030334614208,0.00719135031081103,0.150559129728512
b_t,1970,0.120962723949999,1.41338150510801,0.00734615024942289,0.254595509323778
b_t,1971,0.351351691751997,1.61961619979087,0.0092689321321549,1.25295761497346
b_t,1972,4.24226176339064,10.9312868179051,0.161070721724525,14.7198730195223
b_t,1973,2017.93213884162,13604.6641108495,178.663457305174,4801.5745895825
b_t,1974,13997.7282368091,47724.6361462662,506.324458271894,46583.1602314281
b_t,1975,17721.5220533234,74024.0415052893,963.735405928644,50864.402456709
b_t,1976,30517.4605905081,97304.8151147817,1267.16645637946,99412.6621461974
b_t,1977,43334.5118719429,209006.093138132,2076.34829229896,120010.313526611
b_t,1978,32003.3718144145,66135.5605104194,1845.1382759344,106888.228558629
b_t,1979,38151.1976709595,157654.829396626,1848.6364257277,109146.600356039
b_t,1980,27517.2224646155,59345.7755812183,1610.41119164898,89775.8394146179
b_t,1981,32599.1757247024,78765.8990738333,1884.44873320974,116028.67533228
b_t,1982,33976.0797817288,94265.0675407736,1414.43862704238,108754.639646687
b_t,1983,28431.6386909453,110885.923091964,1157.08960264882,90596.848075052
b_t,1984,27102.2892650328,45138.731262079,1596.66567030947,101621.551525831
b_t,1985,27057.7850102042,64493.9474828168,1682.14364014658,85620.1023763758
b_t,1986,27931.1060476112,52360.8639837129,984.468191990761,97187.3592028228
b_t,1987,31103.4771912647,108957.143976213,1308.37078045265,100276.758772009
b_t,1988,20856.8395001892,129895.462789955,811.566932292442,55315.8788817821
b_t,1989,27573.1610168806,130415.73428666,1077.99363574656,70322.4659755294
b_t,1990,26780.3977557419,74967.8242074234,1475.6097664211,85609.8576048256
b_t,1991,28510.9964278191,144501.364025592,1192.08437743821,72730.9057880768
b_t,1992,26203.5134732352,64898.9579963109,1458.38556282382,83149.6144480042
b_t,1993,32574.5957384346,106408.183546872,1669.61964701,97911.7450839763
b_t,1994,34347.0773031966,106144.149667894,1931.34764086151,100249.797397338
b_t,1995,37270.8133117093,85588.7108436924,1734.624081089,125810.223733702
b_t,1996,40946.4759440702,109519.024461774,1839.86726818471,154841.749720376
b_t,1997,29048.6998866263,96336.9224894342,2203.39600700872,84063.8679822144
b_t,1998,28919.0933935613,54235.9373714668,1674.20452289397,98123.5202142996
b_t,1999,14249.1027815757,32821.1425262313,608.604613499599,46974.5891393566
b_t,2000,10966.3929147106,41629.0635268739,469.91876223166,30621.2600827919
b_t,2001,14645.5228819216,35549.7425938452,643.967743579039,45178.1064841197
b_t,2002,29012.8668386128,85074.1566687518,1411.96250392516,87913.5565529437
b_t,2003,35874.1073463476,88375.482642274,2186.29732241921,99611.1321499458
b_t,2004,34992.909850301,78572.6570736714,2071.67007301669,118855.055118185
b_t,2005,29805.170552731,49655.8345550699,2131.68453656749,104179.282677424
b_t,2006,39463.7315971047,185348.121236867,2795.44747161901,114028.144121683
b_t,2007,31365.9772819164,71940.2961202503,1831.37986594394,93568.5160191723
b_t,2008,24050.099516386,76539.3926035288,1259.76077379418,68940.7043650783
b_t,2009,24171.7364215061,57129.2165694247,1545.70590440718,82074.7849299786
b_t,2010,27476.9882385188,60813.0194604327,1437.09272092634,83836.3310719205
b_t,2011,20086.6665384168,50213.1998238896,1062.44396036763,66234.6298607724
b_t,2012,22173.4735389235,87309.5705885636,1414.64959002271,66650.8213959724
b_t,2013,30004.0266721192,54718.2904288374,2454.04101142164,96509.3307789964
b_t,2014,29804.4067203616,74655.521511604,1886.60300535634,105128.244828595
b_t,2015,16027.5975351706,36546.3122424627,832.482264771346,55546.9350889234
b_t,2016,26115.5503128892,111319.308356117,555.977965050378,90989.8022532105
b_t,2017,26281.8814807556,97834.2241676714,623.513286632731,83507.1639008447
b_t,2018,27988.9450561561,64452.5932181777,1228.22886634715,112117.606683792
b_t,2019,29706.8575412142,58237.2576682466,4656.05117815405,82969.1210425722
bmsy,1951,33615.4526950225,62751.0925634752,6134.00167860455,91491.9293196317
ck,1951,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1952,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1953,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1954,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1955,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1956,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1957,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1958,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1959,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1960,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1961,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1962,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1963,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1964,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1965,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1966,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1967,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1968,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1969,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1970,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1971,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1972,3.26427142132678e-09,2.59484423795383e-09,5.46496500053223e-10,8.15128567284231e-09
ck,1973,0.00326427142132678,0.00259484423795383,0.000546496500053223,0.00815128567284231
ck,1974,0.00326427142132678,0.00259484423795383,0.000546496500053223,0.00815128567284231
ck,1975,0.0010119241406113,0.000804401713765688,0.000169413915016499,0.00252689855858112
ck,1976,0.00150156485381032,0.00119362834945876,0.000251388390024483,0.00374959140950746
ck,1977,0.00571247498732187,0.00454097741641921,0.00095636887509314,0.014264749927474
ck,1978,0.00590833127260147,0.00469666807069644,0.000989158665096333,0.0147538270678446
ck,1979,0.00561454684468206,0.00446313208928059,0.000939973980091543,0.0140202113572888
ck,1980,0.00254613170863489,0.00202397850560399,0.000426267270041514,0.006358002824817
ck,1981,0.00489640713199017,0.00389226635693075,0.000819744750079834,0.0122269285092635
ck,1982,0.00329691413554005,0.00262079268033337,0.000551961465053755,0.00823279852957074
ck,1983,0.00159949299645012,0.00127147367659738,0.000267783285026079,0.00399412997969273
ck,1984,0.00355805584924619,0.00282838021936968,0.000595681185058013,0.00888490138339812
ck,1985,0.00372126942031253,0.00295812243126737,0.000623006010060674,0.00929246566704024
ck,1986,0.00427619556193808,0.00339924595171952,0.000715910415069722,0.0106781842314234
ck,1987,0.00290520156498083,0.00230941137177891,0.000486381885047368,0.00725464424882966
ck,1988,0.000979281426398034,0.000778453271386149,0.000163948950015967,0.00244538570185269
ck,1989,0.0029378442791941,0.00233535981415845,0.000491846850047901,0.00733615710555808
ck,1990,0.00450469456143096,0.00358088504837629,0.000754165170073448,0.0112487742285224
ck,1991,0.00264405985127469,0.0021018238327426,0.00044266216504311,0.00660254139500227
ck,1992,0.00437412370457789,0.00347709127885813,0.000732305310071319,0.0109227228016087
ck,1993,0.00649590012844029,0.00516374003352812,0.00108752803510591,0.0162210584889562
ck,1994,0.00734461069798526,0.00583839953539612,0.00122961712511975,0.0183403927638952
ck,1995,0.0109353092614447,0.00869272819714534,0.0018307632751783,0.0273068070040218
ck,1996,0.00976017154976707,0.00775858427148196,0.00163402453515914,0.0243723441617985
ck,1997,0.0057777604157484,0.00459287430117828,0.000967298805094204,0.0144277756409309
ck,1998,0.0173985666756717,0.0138305197882939,0.00291282634528368,0.0434463526362495
ck,1999,0.00120778042589091,0.000960092368042918,0.000202203705019692,0.00301597569895166
ck,2000,0.000750782426905159,0.000596814174729381,0.000125694195012241,0.00187479570475373
ck,2001,0.00189327742436953,0.00150500965801322,0.000316967970030869,0.00472774569024854
ck,2002,0.00920524540814152,0.00731746075102981,0.00154112013015009,0.0229866255974153
ck,2003,0.0205322672401454,0.0163215702567296,0.00343746298533477,0.0512715868821782
ck,2004,0.0191939159574015,0.0152576841191685,0.00321339942031295,0.0479295597563128
ck,2005,0.0164192852492737,0.0130520665169078,0.00274887739526771,0.0410009669343968
ck,2006,0.020238482812226,0.0160880342753138,0.00338827830032998,0.0505379711716223
ck,2007,0.0135140836842929,0.0107426551451289,0.00226249551022034,0.0337463226855672
ck,2008,0.00316634327868698,0.00251699891081522,0.000530101605051626,0.00790674710265704
ck,2009,0.00489640713199017,0.00389226635693075,0.000819744750079834,0.0122269285092635
ck,2010,0.0087156046949425,0.00692823411533673,0.0014591456551421,0.021763932746489
ck,2011,0.00313370056447371,0.00249105046843568,0.000524636640051094,0.00782523424592862
ck,2012,0.00404769656244521,0.00321760685506275,0.000677655660065996,0.0101075942343245
ck,2013,0.0347971333513435,0.0276610395765878,0.00582565269056736,0.0868927052724991
ck,2014,0.012436874115255,0.0098863565466041,0.00208215166520278,0.0310563984135292
ck,2015,0.00166477842487666,0.00132337056135645,0.000278713215027144,0.00415715569314958
ck,2016,0.00150156485381032,0.00119362834945876,0.000251388390024483,0.00374959140950746
ck,2017,0.00143627942538378,0.00114173146469969,0.000240458460023418,0.00358656569605062
ck,2018,0.00257877442284816,0.00204992694798353,0.000431732235042046,0.00643951568154543
ck,2019,0.00261141713706142,0.00207587539036307,0.000437197200042578,0.00652102853827385
crashed,1951,0,0,0,0
delta,1951,100,0,100,100
dep_t,1951,0.826652372786902,0.0873928216212886,0.690030817660831,0.967640793365049
dep_t,1952,0.00068423268348437,0.000953353963681362,5.72034548901787e-05,0.00246986543852107
dep_t,1953,2.31016612350829e-05,4.44349056436273e-05,9.10811829718036e-07,8.43022541900649e-05
dep_t,1954,4.129670790984e-06,6.89194053984599e-06,5.16718759494224e-07,1.44500667450223e-05
dep_t,1955,1.94459597375659e-06,5.22928257822545e-06,5.04622755157312e-07,6.5628993855659e-06
dep_t,1956,1.08306928156068e-06,1.71073711263725e-06,5.02196330950569e-07,3.51009745458073e-06
dep_t,1957,9.48217912634547e-07,1.45140564339396e-06,5.01701825478469e-07,2.56522234010393e-06
dep_t,1958,1.0392593315681e-06,1.7365705778965e-06,5.02693966663035e-07,2.9494452340887e-06
dep_t,1959,8.10865923445199e-07,1.14597478462233e-06,5.01847852404007e-07,1.78244648299535e-06
dep_t,1960,7.59020627557333e-07,8.28385392502153e-07,5.02650624245841e-07,1.64342574468777e-06
dep_t,1961,7.98196532693752e-07,9.8804520521909e-07,5.02316310771501e-07,1.76943467262609e-06
dep_t,1962,7.72634643268312e-07,8.63475396577427e-07,5.01905422206095e-07,1.77791594105536e-06
dep_t,1963,7.34407481167246e-07,6.30512195955815e-07,5.03381018560428e-07,1.77123130853932e-06
dep_t,1964,7.73173862062121e-07,8.83317469453726e-07,5.01951404879187e-07,1.81696701424473e-06
dep_t,1965,7.83094576037349e-07,8.31332726197761e-07,5.01772083261902e-07,2.01262163317199e-06
dep_t,1966,7.81240874569125e-07,9.19289227563872e-07,5.01879222344688e-07,1.8718591755214e-06
dep_t,1967,7.1057725877363e-07,6.76658409621761e-07,5.01918342223544e-07,1.4785342162903e-06
dep_t,1968,7.15559274010948e-07,7.99026669796573e-07,5.01975731543669e-07,1.45694991438986e-06
